day,ym,RM_monthly,rf_monthly,RM_RF_monthly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
01apr1987,1987m4,.088217057,.0086416667,.07957539,-.068137474,.062629901,-.02695654,-.055969298,.056836527,-.028839147
01may1987,1987m5,-.027541738,.0077499999,-.035291739,.054078653,.0065892497,.0015078199,.068366587,-.0051372317,.0076749637
01jun1987,1987m6,.021012593,.0075416667,.013470926,-.0054341555,.005254867,.038083628,.0039480715,.010923521,.034969363
01jul1987,1987m7,.08382082,.0077499999,.076070823,-.00018422554,-.0026879273,.00029970333,.012589189,-.0068164766,-.0016952455
03aug1987,1987m8,.029328156,.0074313888,.021896768,.0039481637,.039565504,.0047654752,.018471459,.031046722,.0086577423
01sep1987,1987m9,.062445283,.0074999998,.054945283,.020913361,.054702055,.0028842185,.016055519,.052142985,-.0068279169
01oct1987,1987m10,-.20507136,.0075347223,-.21260609,.0004655222,-.018270612,.011018753,-.0027273495,-.041051716,.041749276
02nov1987,1987m11,-.14226483,.0075666667,-.14983149,.010481971,.0045167804,.021816265,.029664384,-.0028328821,.012009166
01dec1987,1987m12,.029090773,.0074916664,.021599106,-.027137801,.0035828166,.019048687,-.0046579815,-.0090448568,.033934016
01jan1988,1988m1,.11982906,.0077499999,.11207906,-.015564208,.093751907,-.077206261,-.037695289,.077457801,-.058320105
01feb1988,1988m2,.025502978,.0072499998,.018252978,.0095530255,.023433637,-.024230316,.011440825,.025714753,-.0086206114
01mar1988,1988m3,.033418372,.0078274999,.025590872,.0042461916,.083179176,-.02676646,.0044857976,.077765092,-.0357747
01apr1988,1988m4,.03206227,.0077500003,.024312269,.011171691,.013991064,-.031833667,-.014770611,.0090405159,-.032730576
02may1988,1988m5,.071809113,.009041667,.062767446,-.017730309,.040092174,-.015657511,-.011546974,.025943704,-.0047688708
01jun1988,1988m6,-.0051090042,.0083333338,-.013442338,.042812966,-.017339159,.017008228,.046983358,-.020271026,.025770649
01jul1988,1988m7,.042982146,.008826389,.034155756,-.002597959,.0076913424,-.0017284844,-.0044776667,-.0047280723,-.0042536948
01aug1988,1988m8,-.034616377,.009041667,-.043658044,.0041693277,-.0072166268,.03276711,.028221309,-.00046505337,.027185958
01sep1988,1988m9,.057832524,.0086666662,.04916586,.00092078,.014329487,-.018183701,-.011567065,.023940653,-.023659727
03oct1988,1988m10,.049205437,.008955555,.040249884,-.025864782,.016088082,.024037637,-.00064006884,-.0055373115,.01538058
01nov1988,1988m11,.0053168545,.0086666662,-.0033498118,-.0038956255,-.01058884,-.015363219,.0050808238,-.016274162,-.022838872
01dec1988,1988m12,.059760232,.008946945,.050813287,-.030477172,.025071172,-.011560587,-.035088632,.029107219,-.010499928
02jan1989,1989m1,.058609199,.008955555,.049653642,-.025097914,.045699999,.043086112,-.044594705,.051222831,.020477386
01feb1989,1989m2,.0081340279,.0080111111,.00012291688,.0061216457,.01517228,.017105373,-.0049902387,.024726901,.029467816
01mar1989,1989m3,.043792587,.0096875001,.034105085,.0034654401,-.025402632,.025686996,-.012199504,.00012062595,.023974309
03apr1989,1989m4,.010895927,.0093750004,.0015209261,-.0095778294,.022267142,-.02003851,-.0069507193,.035158627,-.0068650595
01may1989,1989m5,.04697179,.0096444441,.037327345,-.0087547926,.0011655558,.028502218,-.0097373966,.0038380041,.029011218
01jun1989,1989m6,.04389371,.009333333,.034560375,-.057043221,-.00051209889,.03465838,-.057572592,-.020584377,.045261953
03jul1989,1989m7,.069527648,.010057778,.059469871,-.035257801,.0050521935,.0033133582,-.046651643,.010222023,-.0092283189
01aug1989,1989m8,.029632347,.010247222,.019385125,-.030604489,-.014585469,.011151111,-.017327612,-.022911927,.024136258
01sep1989,1989m9,-.047316782,.0097500002,-.057066783,.019211687,.00022666226,.015153216,.035993487,.0053871693,.016787097
02oct1989,1989m10,-.063040793,.010247222,-.073288016,.048832908,-.041351344,-.026457449,.031196689,-.03037424,-.0063865278
01nov1989,1989m11,-.026584722,.009883333,-.036468055,.014925634,-.035689276,-.0037702024,-.0082111945,-.02411326,-.029640848
01dec1989,1989m12,.076980546,.0099888891,.066991657,-.02921644,-.0017829025,.021171266,-.051562391,-.020934042,-.032780845
01jan1990,1990m1,-.018231709,.010591667,-.028823376,-.28638437,.20507158,-.06123282,-.26573536,.23308675,-.06836684
01feb1990,1990m2,-.051540334,.0097222226,-.061262555,.019192901,-.00048264675,-.011902535,.045435239,-.0036334675,-.023282526
01mar1990,1990m3,-.028017668,.012486111,-.040503778,.0091227954,-.0086271688,-.0044392124,.03735771,-.034860246,-.0021960856
02apr1990,1990m4,.010390667,.012291667,-.0019009998,-.022379547,.011319182,.022762099,-.022835007,.013018794,.025364101
01may1990,1990m5,.11216873,.011452778,.10071595,-.053289495,-.0068180845,-.018337376,-.089993194,-.033626013,.006554652
01jun1990,1990m6,.035773348,.010458333,.025315015,-.013072731,.033538014,-.00099781621,-.031085787,.021078911,.0079476936
02jul1990,1990m7,.0038517793,.010410833,-.0065590539,.019662559,.024547137,-.018433588,.010958858,.031079294,-.024635836
01aug1990,1990m8,-.1179892,.010505555,-.12849475,-.01865866,.020565141,.024091955,-.034230314,.0014459752,-.034943204
03sep1990,1990m9,-.21523061,.0107,-.22593062,.08486744,-.064532146,-.070772596,-.004897058,-.13752869,-.02650021
01oct1990,1990m10,-.010499745,.010806944,-.02130669,.012067619,-.015669046,.046811126,.0053746044,-.031214947,.099559002
01nov1990,1990m11,-.064506017,.013374999,-.077881016,.006990748,.020664316,-.060398679,-.029999273,-.018474448,-.055543285
03dec1990,1990m12,.032778271,.012313889,.020464381,-.081224687,.048621755,-.081696004,-.084741823,.033818197,-.078827374
01jan1991,1991m1,.11617952,.012184722,.10399479,-.11811933,.10090465,-.093683377,-.16033635,.074603938,-.11775134
01feb1991,1991m2,.10246778,.010118889,.092348889,.0025519133,.021223035,-.11032581,-.030656459,.052572705,-.10783619
01mar1991,1991m3,.022098975,.010436666,.011662309,-.060629897,.066294603,-.0081588356,-.073601454,.072311416,.0041345153
01apr1991,1991m4,-.033512812,.010033334,-.043546148,-.061842434,.053961635,.040528394,-.054564741,.03343172,.015671384
01may1991,1991m5,.076147594,.010462499,.065685093,-.042326193,-.0020280979,-.037180517,-.12749568,.035851151,-.0074425098
03jun1991,1991m6,.021337803,.0093750004,.011962803,-.097589873,-.0038864671,.012799121,-.098359846,-.015974201,.035152137
01jul1991,1991m7,-.012658644,.008869445,-.021528088,.074026637,-.088829987,.11946414,.022448467,-.098443359,.10909458
01aug1991,1991m8,-.017143352,.008826389,-.02596974,-.097061023,.05578354,.06199025,-.12267372,.0055184318,.069441065
02sep1991,1991m9,-.056582838,.0085583339,-.065141171,-.015147195,-.10216336,.016573962,-.0069129462,-.084924877,.028070383
01oct1991,1991m10,-.018918803,.008688611,-.027607415,-.048729543,.039740633,.15467541,-.065202385,-.012940516,.085917212
01nov1991,1991m11,-.0598538,.0087083336,-.068562135,.08383815,-.079080351,-.057796307,.057939019,-.022100314,-.050217353
02dec1991,1991m12,-.038969927,.010281666,-.049251594,-.08299312,-.015130466,.068063416,-.075367115,-.065555558,.08771085
01jan1992,1992m1,.057346277,.0118575,.045488775,.041333877,.11315017,-.046577167,-.056872189,.11980719,-.053510502
03feb1992,1992m2,-.030454211,.0098599996,-.040314212,.013066129,-.094562687,.21699017,-.037524864,-.088668667,.076881506
02mar1992,1992m3,.063263565,.010264444,.05299912,.0058566225,.068014979,-.0038826317,.042423811,.051218674,-.107433
01apr1992,1992m4,-.0094489474,.0096000005,-.019048948,.010251936,-.075407244,.014015636,-.0036173614,-.032912206,.0054520369
