day,RM_daily,rf_daily,RM_RF_daily,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
17jul1984,.0012517385,.00037222222,.0008795163,-.00064705254,-.00005832169,-.0045424453,-.002985249,.00023727422,-.0089834845
18jul1984,-.0030162919,.00037222222,-.003388514,.0079833819,.0093150707,-.0050979136,.0083919317,.007595479,-.0036241394
19jul1984,-.002886089,.00037361111,-.0032597003,.0049879141,-.0010136801,-.0018415834,.0058310265,-.001613949,-.001471668
20jul1984,-.0017566272,.00037777779,-.0021344051,.001922912,-.0044289064,.0021126105,.0013625339,-.00077731081,.0054610157
23jul1984,-.0041993279,.00037777779,-.0045771059,-.0046270746,.00089171471,-.054660793,-.0027635975,-.0026688541,-.035365969
24jul1984,.0010843809,.00037777779,.00070660311,.002063951,.0051760091,.0040896377,.000025321069,.0044082631,.00050395948
25jul1984,-.00048142503,.00037916665,-.00086059165,.0027649417,.0036920977,-.0040349723,.0048408182,.0044558118,-.0031809343
26jul1984,.0053383638,.00036666667,.004971697,-.0035731744,.0038328769,.0010715353,-.0026082327,.0040801135,-.0017554223
27jul1984,.009562023,.00038611112,.0091759115,-.006243113,-.0018442322,.0028218741,-.0094324593,-.0026459501,.0017932183
30jul1984,-.0018191525,.00038611112,-.0022052636,.0012415124,.0012372357,-.00010419241,-.00019088537,.0011949051,-.0020674334
31jul1984,-.008696341,.00037916665,-.0090755075,.0045944294,-.0019421924,.0023126702,.0061244611,-.002285827,.0022435312
01aug1984,-.00025978178,.00037916665,-.0006389484,.000351344,.00035050511,-.0067572328,.00016530334,-.00058039476,-.0068623107
02aug1984,.0067960583,.00038611112,.0064099473,-.003322935,.0023788682,-.00062582316,-.0065745045,.0022197817,-.0021370321
