day,yw,RM_weekly,rf_weekly,RM_RF_weekly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
02jan1984,1984w1,.042300351,.0022944445,.040005907,-.000014849628,-.026615094,-.027273735,-.0078469729,-.017817795,-.040124144
09jan1984,1984w2,.021837587,.0022458334,.019591752,-.0014973538,.030183937,.017563976,-.00098317454,.019179348,.022598336
16jan1984,1984w3,.008536797,.0022458334,.0062909639,.0013875448,.012734989,-.0047390289,.0039245333,.012831084,-.0051536271
23jan1984,1984w4,.015572455,.0022652778,.013307177,-.0029314652,.0094965352,.0077360831,.0035079038,.0096420432,.0017972714
30jan1984,1984w5,.028654212,.0023041668,.026350046,-.00054671167,.026103728,-.009806213,-.00011391736,.030035995,-.015741762
06feb1984,1984w6,-.01119362,.0021388889,-.013332509,.016073454,-.033489909,-.030592047,.0055624642,-.017786395,-.025726331
13feb1984,1984w7,-.0064185564,.0021388889,-.0085574454,.015006877,-.0022817375,.0050147502,.014422139,-.0016311787,.012440512
20feb1984,1984w8,-.0083589312,.0021388889,-.01049782,.0095551787,.0090403734,.010701251,.0068751252,.0096014105,.0084595717
27feb1984,1984w9,-.0070964592,.0021097222,-.0092061814,.0010826533,.012787369,.0060111452,.00015775677,.004555746,.0056238901
05mar1984,1984w10,-.014294358,.0021680554,-.016462414,.0089528067,-.0022992245,-.010990921,.018821951,.0041868547,-.0065240846
12mar1984,1984w11,.017992787,.0020999999,.015892787,-.0065241465,.012057341,-.011446489,-.01446652,.013875174,-.013708802
19mar1984,1984w12,.0039381948,.0020805555,.0018576393,.017422378,-.016637294,.0015839085,.017962387,-.0053495876,.0046291309
26mar1984,1984w13,.013532536,.0020999999,.011432536,.00035433765,.016807482,-.022897938,.0035903661,.016556343,-.015520798
02apr1984,1984w14,-.000074074072,.0020416668,-.0021157409,-.0023227879,.011470824,-.0017271314,.0088554351,.0078840097,.0027400276
09apr1984,1984w15,-.03698422,.0020513888,-.039035611,.010306384,-.0031998064,.0052219341,.0024923037,-.00020148605,.0063044671
16apr1984,1984w16,.016750323,.0020902778,.014660045,-.028345058,.045595657,.017058274,-.011148474,.01078338,-.0017519575
23apr1984,1984w17,-.017155286,.0020611112,-.019216398,.017627895,-.022520434,-.020736802,.0037860908,-.0030934978,-.0066728238
30apr1984,1984w18,.018955795,.0020319445,.01692385,-.0084062768,.016735969,-.00062273734,-.016673667,.014741272,-.0050535765
07may1984,1984w19,-.009499887,.0020416668,-.011541554,.0042843209,.013641095,.0099003622,.0073065301,.025642026,.012995108
14may1984,1984w20,-.021050625,.0020902778,-.023140902,.019483386,-.0094056102,.020727418,.021132639,-.0077096559,.016879959
21may1984,1984w21,-.058861338,.0021680554,-.061029393,.0012206013,.03458596,-.022834707,.010244221,.017423937,-.0073958449
